filepath	caption	class	class_id
../datasets/PrioEval/airplane_693.jpg	An aerial photograph with description: A plane is parked on the open space next to the terminal .	airplane	0
../datasets/PrioEval/ship_649.jpg	An aerial photograph with description: The cargo ship full of containers is docked at the container terminal and another ship is sailing next to it .	ship	1
../datasets/PrioEval/ship_698.jpg	An aerial photograph with description: An orange-red bulk carrier docked by the dock .	ship	1
../datasets/PrioEval/airplane_671.jpg	An aerial photograph with description: There are two white planes parked by the lawn .	airplane	0
../datasets/PrioEval/ship_650.jpg	An aerial photograph with description: A light green tanker docked by the dock .	ship	1
../datasets/PrioEval/ship_634.jpg	An aerial photograph with description: The ship is at the harbor .	ship	1
../datasets/PrioEval/ship_689.jpg	An aerial photograph with description: There are several ships at the harbor .	ship	1
../datasets/PrioEval/basketball_court_646.jpg	An aerial photograph with description: The basketball court is between two lawns,With vegetation nearby .	basketball_court	2
../datasets/PrioEval/airplane_634.jpg	An aerial photograph with description: A white plane and a gray plane parked at the boarding port  The white plane was about four times as large as the gray one .	airplane	0
../datasets/PrioEval/airplane_658.jpg	An aerial photograph with description: There are many planes of different sizes in a clearing .	airplane	0
../datasets/PrioEval/basketball_court_653.jpg	An aerial photograph with description: Many buildings are near the basketball courts .	basketball_court	2
../datasets/PrioEval/airplane_663.jpg	An aerial photograph with description: Five planes are on the marked ground .	airplane	0
../datasets/PrioEval/ship_667.jpg	An aerial photograph with description: Many buildings of different shapes are beside the ship .	ship	1
../datasets/PrioEval/airplane_664.jpg	An aerial photograph with description: Two planes are parked on the open space next to the terminal .	airplane	0
../datasets/PrioEval/ship_658.jpg	An aerial photograph with description: There are two ships surrounded by green water .	ship	1
../datasets/PrioEval/airplane_667.jpg	An aerial photograph with description: Several planes of different sizes are parked in a clearing, With many buildings next to the plane .	airplane	0
../datasets/PrioEval/airplane_632.jpg	An aerial photograph with description: Four planes of different sizes were on the marked ground .	airplane	0
../datasets/PrioEval/ship_696.jpg	An aerial photograph with description: The ship is docked next to an oval building and the water is dark green .	ship	1
../datasets/PrioEval/basketball_court_634.jpg	An aerial photograph with description: There is a path beside the basketball court .	basketball_court	2
../datasets/PrioEval/basketball_court_699.jpg	An aerial photograph with description: Two basketball courts on the lawn and some buildings beside .	basketball_court	2
../datasets/PrioEval/basketball_court_689.jpg	An aerial photograph with description: A red building is beside two basketball courts .	basketball_court	2
../datasets/PrioEval/ship_681.jpg	An aerial photograph with description: The orange cargo ship is docked next to a forest and the water is yellow .	ship	1
../datasets/PrioEval/bridge_672.jpg	An aerial photograph with description: A slender, Straight bridge connects the land on both sides of the meandering river  The river is lined with long yellow banks and many buildings and roads on the land .	bridge	3
../datasets/PrioEval/airplane_650.jpg	An aerial photograph with description: There were four white aircraft on the ground, One of which was not on the same line as the other three .	airplane	0
../datasets/PrioEval/basketball_court_696.jpg	An aerial photograph with description: Two basketball courts are surrounded by grass .	basketball_court	2
../datasets/PrioEval/ship_632.jpg	An aerial photograph with description: The grass is beside the ship .	ship	1
../datasets/PrioEval/bridge_695.jpg	An aerial photograph with description: There are some buildings beside the bridge .	bridge	3
../datasets/PrioEval/basketball_court_681.jpg	An aerial photograph with description: Many cars are in the parking lot next to the basketball courts .	basketball_court	2
../datasets/PrioEval/basketball_court_684.jpg	An aerial photograph with description: Beside the basketball courts on the lawn there is a parking lot and some buildings .	basketball_court	2
../datasets/PrioEval/ship_687.jpg	An aerial photograph with description: The green ship is at the harbor .	ship	1
../datasets/PrioEval/bridge_696.jpg	An aerial photograph with description: A bridge built on a dark green river and some harbors on both sides of the river .	bridge	3
../datasets/PrioEval/bridge_698.jpg	An aerial photograph with description: A bridge connects the land on both sides of the turquoise water  There are three roads on one side of the bridge  There are many buildings and roads on the land .	bridge	3
