	filepath	caption	class	class_id
12	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_693.jpg	An aerial photograph with description: A plane is parked on the open space next to the terminal .	airplane	0
48	../datasets/NWPU-Captions/NWPU_images/ship/ship_649.jpg	An aerial photograph with description: The cargo ship full of containers is docked at the container terminal and another ship is sailing next to it .	ship	1
41	../datasets/NWPU-Captions/NWPU_images/ship/ship_698.jpg	An aerial photograph with description: An orange-red bulk carrier docked by the dock .	ship	1
21	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_671.jpg	An aerial photograph with description: There are two white planes parked by the lawn .	airplane	0
45	../datasets/NWPU-Captions/NWPU_images/ship/ship_650.jpg	An aerial photograph with description: A light green tanker docked by the dock .	ship	1
42	../datasets/NWPU-Captions/NWPU_images/ship/ship_634.jpg	An aerial photograph with description: The ship is at the harbor .	ship	1
40	../datasets/NWPU-Captions/NWPU_images/ship/ship_689.jpg	An aerial photograph with description: There are several ships at the harbor .	ship	1
74	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_646.jpg	An aerial photograph with description: The basketball court is between two lawns,With vegetation nearby .	basketball_court	2
17	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_634.jpg	An aerial photograph with description: A white plane and a gray plane parked at the boarding port  The white plane was about four times as large as the gray one .	airplane	0
19	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_658.jpg	An aerial photograph with description: There are many planes of different sizes in a clearing .	airplane	0
60	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_653.jpg	An aerial photograph with description: Many buildings are near the basketball courts .	basketball_court	2
18	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_663.jpg	An aerial photograph with description: Five planes are on the marked ground .	airplane	0
25	../datasets/NWPU-Captions/NWPU_images/ship/ship_667.jpg	An aerial photograph with description: Many buildings of different shapes are beside the ship .	ship	1
7	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_664.jpg	An aerial photograph with description: Two planes are parked on the open space next to the terminal .	airplane	0
44	../datasets/NWPU-Captions/NWPU_images/ship/ship_658.jpg	An aerial photograph with description: There are two ships surrounded by green water .	ship	1
0	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_667.jpg	An aerial photograph with description: Several planes of different sizes are parked in a clearing, With many buildings next to the plane .	airplane	0
13	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_632.jpg	An aerial photograph with description: Four planes of different sizes were on the marked ground .	airplane	0
33	../datasets/NWPU-Captions/NWPU_images/ship/ship_696.jpg	An aerial photograph with description: The ship is docked next to an oval building and the water is dark green .	ship	1
67	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_634.jpg	An aerial photograph with description: There is a path beside the basketball court .	basketball_court	2
51	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_699.jpg	An aerial photograph with description: Two basketball courts on the lawn and some buildings beside .	basketball_court	2
65	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_689.jpg	An aerial photograph with description: A red building is beside two basketball courts .	basketball_court	2
30	../datasets/NWPU-Captions/NWPU_images/ship/ship_681.jpg	An aerial photograph with description: The orange cargo ship is docked next to a forest and the water is yellow .	ship	1
97	../datasets/NWPU-Captions/NWPU_images/bridge/bridge_672.jpg	An aerial photograph with description: A slender, Straight bridge connects the land on both sides of the meandering river  The river is lined with long yellow banks and many buildings and roads on the land .	bridge	3
20	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_650.jpg	An aerial photograph with description: There were four white aircraft on the ground, One of which was not on the same line as the other three .	airplane	0
58	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_696.jpg	An aerial photograph with description: Two basketball courts are surrounded by grass .	basketball_court	2
38	../datasets/NWPU-Captions/NWPU_images/ship/ship_632.jpg	An aerial photograph with description: The grass is beside the ship .	ship	1
79	../datasets/NWPU-Captions/NWPU_images/bridge/bridge_695.jpg	An aerial photograph with description: There are some buildings beside the bridge .	bridge	3
55	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_681.jpg	An aerial photograph with description: Many cars are in the parking lot next to the basketball courts .	basketball_court	2
56	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_684.jpg	An aerial photograph with description: Beside the basketball courts on the lawn there is a parking lot and some buildings .	basketball_court	2
27	../datasets/NWPU-Captions/NWPU_images/ship/ship_687.jpg	An aerial photograph with description: The green ship is at the harbor .	ship	1
83	../datasets/NWPU-Captions/NWPU_images/bridge/bridge_696.jpg	An aerial photograph with description: A bridge built on a dark green river and some harbors on both sides of the river .	bridge	3
91	../datasets/NWPU-Captions/NWPU_images/bridge/bridge_698.jpg	An aerial photograph with description: A bridge connects the land on both sides of the turquoise water  There are three roads on one side of the bridge  There are many buildings and roads on the land .	bridge	3
80	../datasets/NWPU-Captions/NWPU_images/bridge/bridge_681.jpg	An aerial photograph with description: A bridge built on a dark green river and some green plants on both sides of the river .	bridge	3
62	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_693.jpg	An aerial photograph with description: A row of basketball courts separates the lawn and buildings .	basketball_court	2
94	../datasets/NWPU-Captions/NWPU_images/bridge/bridge_658.jpg	An aerial photograph with description: Numerous trees are around the bridges .	bridge	3
3	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_661.jpg	An aerial photograph with description: A plane parked on the open area and some buildings beside .	airplane	0
61	../datasets/NWPU-Captions/NWPU_images/basketball_court/basketball_court_670.jpg	An aerial photograph with description: Many trees are near the basketball court .	basketball_court	2
15	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_689.jpg	An aerial photograph with description: There is a plane and several cars on the open ground .	airplane	0
16	../datasets/NWPU-Captions/NWPU_images/airplane/airplane_698.jpg	An aerial photograph with description: Five planes are parked on the runway .	airplane	0
